Event,Range (start time in minutes - end time in minutes),Duration (in seconds),Video clip,Whole Video Link
Robots traffic,03.37-04.15,38,,V001
"People Hit,snatch bag and run",04.24-05.07,41,,V001
Throw trash from car,05.36-06.18,42,,V001
People Falling,06.58-7.19,21,,V001
People Hit and run,10.03-10.37,34,,V001
Theft from car,10.43-11.07,34,,V001
Car blocking and loading,12.50-13.30,40,,V001
"Fight, hit and run",14.43-16.34,111,,V001
Drink & smoke,20.53,43,,V001
Walking dog & steal e-scoor,23.55-24.26,31,,V001
Group fighting,,34,,V001
Robbing Bag,,34,,V002
Drunk Man,,61,,V002
People Falling,,14,,V002
Public Humiliation,,23,,V002
Phone snatching,,31,,V002
Taking a Publicly Placed Object,,14,,V002
Theft from the building,,27,,V002
Car hit and run,,59,,V002
E1_rob_escoor,01:03-01:13,10,,V003
E2_smoking,02:40-03:35,55,,V003
E3_susipous package,06:25-07:33,68,,V003
E4_car hit and run,09:09-09:21,12,,V003
E5_fighting,09:59--10:30,31,,V003
E6_climbing fence,14:27-14:31,4,,V003
E7_kidnipping,15:39-16:03,24,,V003
E8_rob theft phone,16:51-17:03,12,,V003
E9_throw suspicious package,19:05-19:24,19,,V003
E10_theft/rob phone,21:27-21:40,13,,V003
E11_climbing,23:23-23:42,19,,V003
E12_fighting,24:42-25:23,41,,V003
E13_jaywalking,27:40-28:04,24,,V003
E1_smoking,0:58-02:!2,74,,V004
E2_jaywalking,02:20-02:29,9,,V004
E4_damage building _ hit by brick,02:30-02:52,22,,V004
E5_jaywalking,03:03-03:09,6,,V004
E6_theft bag,05-37-05:55,18,,V004
E7_damage statue spray,05:54-06:35,41,,V004
E8_theft bike,06:40-06:55,15,,V004
E9_illgeal parking,07:10-07:36,20,,V004
E10_weapon_brick,07:52-08:18,26,,V004
E11_fighting,08:43-09:08,25,,V004
E12_group fighting,14:39-15:41,62,,V004
E13 rigind e_scoor_ peopple falling,17:22-18:09,47,,V004
E14_bike_hit_and_run,22:07-22:21,13,,V004
E15_fighting and snatch bag,29:03-29:20,17,,V004
E1_jaywalking,0:23-0:32,9,,V005
E2_attack_rob_phone,0:51,,,V005
E3_jaywaling_climbing fence,01:26-01:44,18,,V005
E4_climbing fence,02:12-02:33,11,,V005
E5_kidnipping,11:04-11:29,25,,V005
E6_walking dog,12:22-12:40,18,,V005
E7_suspious pakage,16:05-16:44,39,,V005
E8_rob people_snatching bag,18:42-18:55,13,,V005
E9_harassment,18:47-20:39,44,,V005
E10_damage golf cart,21:18-21:27,9,,V005
E11_rob,24:43-25:19,36,,V005
E1_people smoking,0-0:26,26,,V006
E2_jaywalking,02:27- 02:35,8,,V006
E3_jaywalking,02:49-02:56,7,,V006
E4_car_in_wrong_way,02:57-04:10,73,,V006
E5_theft bicycle,06:41-07:00,19,,V006
E6_damage building,07:21-07:35,14,,V006
E7_theft trash bin,13:01-13:08,7,,V006
E8_people falling,,23,,V006
E9_drunk people,18:14-18:48,34,,V006
E10_climbing object,23:10-23:22,12,,V006
E1_riding e-scoor,0:26-0:43,17,,V007
E2_damage building playing in wrong space,0:57-1:39,42,,V007
E3_rob_theft_and_run,02:19-02:36,17,,V007
E4_riding bike,05:28-05:43,15,,V007
E5_bully_assualy,05:47-06:07,22,,V007
E6_riding bike,06:37-07:16,39,,V007
E7_leave bag behind,07:29-08:03,34,,V007
E8_attack people,08:12-08:27,15,,V007
E9_damage building spray and riding e-scoor,09:28-09:50,22,,V007
E10_theft from people,13:11-14:05,54,,V007
E11_bike hit and run,15:56-16:48,52,,V007
E12_ attack hit people and run,21:37-21:52,15,,V007
E1_climbing tree,1:11 - 1:36,25,,V008
E2_theft from car,02:41 - 03:51,65,,V008
E3_kidnipping,06:20 -06:29,19,,V008
E4_car hit and run,08:53-09:13,20,,V008
E5_car hit and run,14:45-14:55,10,,V008
E6_drunk people,16:33-17:40,67,,V008
E7_block people_assult,24:54 - 25:21,27,,V008
E1_illegal Parking,02.11-02.49,39,,V009
E2_ Car_bike_hit_and _run,03.45-04.15(hit view)- 05.05(car run ->blocking?),79,,V009
E3_person_skateboard,05.35-05.41,6,,V009
E4_people_robbey_phone,08.58-09.14,16,,V009
E5_Jaywalking_play_football_in_the_middle_of_the_road,13:38-14.17,39,,V009
E6_snatching bag,16:07-16:19,13,,V009
E7_two drunk men,17:59-18.45,46,,V009
E8_fighting_illegal parking,23:43-24.15,37,,V009
E1_unleashed dog,00:06-0:50,44,,V010
E2_unleased cat_people throw cat,02:04-03:00,56,,V010
E3_Jaywalking_looking_suspious,05:28-05:42,14,,V010
E4_people falling,07:03-07:29,26,,V010
E5_people falling,08:19-08-31,12,,V010
E6_unleashed dog,09:22-09:50,28,,V010
E7_carrying suspicious bag_leave_bag,10:45-11:05,20,,V010
E8_people falling,16:10-16:42,30,,V010
E9_rob_stalking,27:14-27:58,44,,V010
Throw trash from car,,,,V011
People Falling,,,,V011
Try to Theft from car,,,,V011
